X,Y
-0.8,[-3.6224e-08]
-0.79,[1.13081e-07]
-0.78,[-1.90218e-07]
-0.77,[1.62828e-07]
-0.76,[-4.3409e-08]
-0.75,[-9.0673e-08]
-0.74,[1.39777e-07]
-0.73,[-1.24268e-07]
-0.72,[-1.82e-08]
-0.71,[1.44649e-07]
-0.7,[-1.88696e-07]
-0.69,[8.5477e-08]
-0.6799999999999999,[8.565e-08]
-0.6699999999999999,[-1.81441e-07]
-0.6599999999999999,[1.59409e-07]
-0.6499999999999999,[-7.109e-09]
-0.6399999999999999,[-1.19841e-07]
-0.6299999999999999,[1.91174e-07]
-0.6199999999999999,[-1.35509e-07]
-0.6099999999999999,[1.46766e-07]
-0.5999999999999999,[-1.86558e-07]
-0.5899999999999999,[8.2717e-08]
-0.5799999999999998,[9.172e-08]
-0.5699999999999998,[-1.89589e-07]
-0.5599999999999998,[1.51307e-07]
-0.5499999999999998,[-5.35e-10]
-0.5399999999999998,[-1.4122e-07]
-0.5299999999999998,[1.88156e-07]
-0.5199999999999998,[-9.2078e-08]
-0.5099999999999998,[-7.97e-08]
-0.4999999999999998,[1.79116e-07]
-0.4899999999999997,[-1.634e-07]
-0.4799999999999997,[2.1336e-08]
-0.4699999999999997,[1.23926e-07]
-0.4599999999999997,[-1.91864e-07]
-0.4499999999999997,[1.24608e-07]
-0.4399999999999997,[5.4405e-08]
-0.4299999999999997,[-1.7346e-07]
-0.4199999999999997,[-6.2997e-08]
-0.4099999999999997,[-1.0317e-07]
-0.3999999999999997,[1.9028e-07]
-0.3899999999999997,[-1.33262e-07]
-0.3799999999999996,[-1.2375e-08]
-0.3699999999999996,[1.48493e-07]
-0.3599999999999996,[-1.85512e-07]
-0.3499999999999996,[7.0148e-08]
-0.3399999999999996,[7.6943e-08]
-0.3299999999999996,[-1.85085e-07]
-0.3199999999999996,[1.53389e-07]
-0.3099999999999996,[-1.255e-09]
-0.2999999999999996,[-1.43511e-07]
-0.2899999999999996,[1.8786e-07]
-0.2799999999999996,[-1.05333e-07]
-0.2699999999999996,[-4.6611e-08]
-0.2599999999999995,[1.53645e-07]
-0.2499999999999995,[-1.8387e-07]
-0.2399999999999995,[8.9551e-08]
-0.2299999999999995,[-1.72384e-07]
-0.2199999999999995,[1.63046e-07]
-0.2099999999999995,[-1.42366e-07]
-0.1999999999999995,[-1.0382e-08]
-0.1899999999999995,[1.46857e-07]
-0.1799999999999995,[-1.84004e-07]
-0.1699999999999994,[5.9976e-08]
-0.1599999999999994,[1.04515e-07]
-0.1499999999999994,[-1.92015e-07]
-0.1399999999999994,[1.27112e-07]
-0.1299999999999994,[2.3946e-08]
-0.1199999999999994,[-1.2451e-07]
-0.1099999999999994,[1.90861e-07]
-0.0999999999999994,[-1.19235e-07]
-0.0899999999999994,[-1.228e-09]
-0.0799999999999994,[8.6539e-08]
-0.0699999999999994,[-1.81485e-07]
-0.0599999999999993,[1.83719e-07]
-0.0499999999999993,[-1.2467e-07]
-0.0399999999999993,[1.20594e-07]
-0.0299999999999993,[-1.91861e-07]
-0.0199999999999993,[1.3624e-07]
-0.0099999999999993,[-2.5706e-08]
6.661338147750939e-16,[-1.08223e-07]
0.0100000000000006,[1.89938e-07]
0.0200000000000006,[-1.70768e-07]
0.0300000000000006,[5.0848e-08]
0.0400000000000007,[9.8737e-08]
0.0500000000000007,[-1.83642e-07]
0.0600000000000007,[1.69708e-07]
0.0700000000000007,[-7.3087e-08]
0.0800000000000007,[-7.1206e-08]
0.0900000000000007,[1.78077e-07]
0.1000000000000007,[-1.7359e-07]
0.1100000000000007,[6.1271e-08]
0.1200000000000007,[4.5633e-08]
0.1300000000000007,[-1.27781e-07]
0.1400000000000008,[1.91144e-07]
0.1500000000000008,[2.0238e-08]
0.1600000000000008,[1.23626e-07]
0.1700000000000008,[-1.90669e-07]
0.1800000000000008,[1.50804e-07]
0.1900000000000008,[-2.5795e-08]
0.2000000000000008,[-1.10511e-07]
0.2100000000000008,[1.91097e-07]
0.2200000000000008,[1.00117e-07]
0.2300000000000008,[-1.87251e-07]
0.2400000000000008,[1.69391e-07]
0.2500000000000009,[-4.3666e-08]
0.2600000000000009,[-9.8014e-08]
0.2700000000000009,[1.88548e-07]
0.2800000000000009,[-1.51184e-07]
0.2900000000000009,[-1.3821e-08]
0.3000000000000009,[1.54441e-07]
0.3100000000000009,[-1.874e-07]
0.3200000000000009,[1.00166e-07]
0.3300000000000009,[-1.71676e-07]
0.3400000000000009,[1.71877e-07]
0.350000000000001,[-5.4927e-08]
0.360000000000001,[-1.08475e-07]
0.370000000000001,[1.90126e-07]
0.380000000000001,[-1.74415e-07]
0.390000000000001,[7.596e-08]
0.400000000000001,[6.989e-08]
0.410000000000001,[-1.64859e-07]
0.420000000000001,[1.91192e-07]
0.430000000000001,[-1.13731e-07]
0.440000000000001,[2.1325e-08]
0.450000000000001,[1.11824e-07]
0.4600000000000011,[-1.75814e-07]
0.4700000000000011,[1.84448e-07]
0.4800000000000011,[-8.9858e-08]
0.4900000000000011,[-4.4018e-08]
0.5000000000000011,[1.33716e-07]
0.5100000000000011,[-1.91134e-07]
0.5200000000000011,[-7.948e-09]
0.5300000000000011,[-1.13441e-07]
0.5400000000000011,[1.91341e-07]
0.5500000000000012,[-1.57849e-07]
0.5600000000000012,[2.9259e-08]
